Architect,Condition,Construction Date,Contributing to a National Register District,Current Function,Former Street Number,Historic Function,Integrity,Landmark or National Register,Listing in Existing Survey,National Register Criterion,Noteworthy Buildings Less Than 50 Years Old,PIN Number(s),Potentially Contributing to a  National Register District,Reason for Significance,Secondary Structure,Secondary Structure Condition,Secondary Structure Integrity,Significant,Street,Street Number,Survey Area,Alterations,Architect 1 Information,Architect 2 Information,Architectural Classification or Style,Category,Construction Cost,Contractor 1 Information,Contractor 2 Information,Current Name,Current Wall Material 1,Current Wall Material 2,Direction,Door,Door Detailing,Dormers,Foundation Material or Form,Historic Name,Landscape or Streetscape,Listed in an Existing Survey,Notes,Number of Stories,Origional Building Owner,Origional Wall Material 1,Origional Wall Material 2,Ornamentation,Permit,Porch,Preparer,Preparer Organization or Entity,Research or Archival Information,Roof Material,Roof Ornamentation,Roof Type,Significant Features,Storefront Material,Storm Door,Subdivision,Survey Date,Vernacular Styles or Building Form,Wall Detailing or Ornamentation,Window Configuration,Window Detail,Window Material 1,Window Material 2,Window Storms,Window Type
-,Excellent,1922,-,Single Family Residential Building,451,Single Family Residential Building,Good,No,-,-,-,15-410-014-0000,Yes,-,Garage,Excellent,Excellent,No,Clinton Place,924,2,visible rear addition  replacement windows,-,-,Prairie,-,-,Buurma Brothers,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,art glass,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped with Cross Gable,Porte cochere,-,-,-,August 14 2012,Foursquare,-,-,-,-,-,-,-
-,Good,1947,-,Commercial Building,-,Commercial Building,Poor,No,-,-,-,15-12-322-049-0000,No,-,Attached Garage,-,-,No,Madison Street,7600,4,resided with vertical plywood,-,-,-,-,-,-,-,Pete's Automotive,Wood clapboard,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 24 2012,Strip Commercial,-,-,-,-,-,-,-
-,Good,1960,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-12-322-048-0000,No,-,-,-,-,No,Madison Street,7614,4,-,-,-,-,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,September 24 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Good,1961,-,Commercial Building,-,Commercial Building,Excellent,No,-,-,-,15-12-322-047-0000,No,-,-,-,-,No,Madison Street,7618,4,-,-,-,-,-,-,-,-,-,Stone,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Stone Framing/Knee Walls,-,-,September 24 2012,One-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1918,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-12-322-041-0000,No,-,-,-,-,No,Madison Street,7610,4,storefront infilled with stone,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Stone Framing/Knee Walls,-,-,September 24 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1913,-,Commercial Building,-,Commercial Building,Good,No,-,-,-,15-12-322-039-0000  15-12-322-040-0000,No,-,-,-,-,No,Madison Street,7612,4,storefront in filled with brick,-,-,-,-,$4000,Buether & Butendorff ,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,J.P. Hoppesch,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,Aluminum Framing/Knee Walls,-,-,September 24 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Excellent,1960,-,Institutional Building,-,Institutional Building,Excellent,No,-,C,Yes,15-12-322-031-0000  15-12-322-032-0000  15-12-322-033-0000  15-12-322-034-0000  15-12-322-035-0000,No,Excellent Mid-Century Modern style example with stone screen and extensive art glass  all with excellent integrity.,-,-,-,Yes,Madison Street,7620,4,Replacement windows,-,Additions by August J. Engler,Mid-Century Modern,-,-,-,-,Lutheran Child & Family Services,Brick,Stone,-,-,-,-,Concrete/Concrete Block,-,-,-,-,1.5,Lutheran Child Welfare Association,Brick,Stone,Stone screen  art glass,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,Stone entry with art glass,-,-,-,September 24 2012,Two-Part Commercial,-,1 over 1,-,Aluminum,-,-,Casement
-,Good,1909,-,Single Family Residential Building,11,Single Family Residential Building,Good,No,-,-,-,15-12-322-030-0000,Yes,-,Garage,Good,Poor,No,Lathrop Avenue,10,4,resided  shutters added,-,-,-,-,$2500,G.H. Spaulding,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical porch,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Poor,1909,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-322-029-0000,Yes,-,Garage,Poor,Excellent,No,Lathrop Avenue,12,4,resided  porch rebuilt,-,-,-,-,$2300,G.H. Spaulding ,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1909,-,Single Family Residential Building,17,Single Family Residential Building,Excellent,No,-,-,-,15-12-322-028-0000,Yes,-,-,-,-,No,Lathrop Avenue,14,4,-,-,-,-,-,$2300,G.H. Spaulding,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical porch,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,September 24 2012,Foursquare,-,-,-,-,-,-,-
